"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
1.52,0.363433077327,,,,1.52,0.538206293822,,
1.53,0.325927083795,0.387247,0.151134375,-3.03896412037,1.53,0.560709889942,,
1.54,0.303423487676,,,,1.54,0.598215883474,,
1.55,0.280919891557,,,,1.55,0.627845618365,,
1.56,0.265917494144,,,,1.56,0.642848015777,,
1.57,0.258416295437,0.386561,-0.0153635416667,-3.14466290509,1.57,0.65785041319,,
1.58,0.265917494144,,,,1.58,0.672852810603,,
1.59,0.265917494144,,,,1.59,0.650349214484,,
1.6,0.258416295437,,,,1.6,0.60571708218,,
1.61,0.258416295437,0.3833025,-0.124932986111,-2.47085382909,1.61,0.627845618365,,
1.62,0.265917494144,,,,1.62,0.65785041319,,
1.63,0.280919891557,,,,1.63,0.68035400931,,
1.64,0.303423487676,,,,1.64,0.665351611897,,
1.65,0.325927083795,0.3760995,-0.212707638889,-1.60698543596,1.65,0.65785041319,,
1.66,0.348430679915,,,,1.66,0.665351611897,,
1.67,0.37843547474,,,,1.67,0.650349214484,,
1.68,0.40093907086,,,,1.68,0.613218280887,,
1.69,0.423442666979,0.365295,-0.262013888889,-0.482426456404,1.69,0.620719479593,,
1.7,0.453447461805,,,,1.7,0.65785041319,,
1.71,0.475951057924,,,,1.71,0.68035400931,,
1.72,0.513457051456,,,,1.72,0.665351611897,,
1.73,0.550963044989,0.3534615,-0.260227430556,0.846665461034,1.73,0.665351611897,,
1.74,0.580967839815,,,,1.74,0.65785041319,,
1.75,0.603471435934,,,,1.75,0.642848015777,,
1.76,0.625975032053,,,,1.76,0.627845618365,,
1.77,0.63347623076,0.342314,-0.194604861111,2.14821614583,1.77,0.620719479593,,
1.78,0.66310596565,,,,1.78,0.65785041319,,
1.79,0.678108363063,,,,1.79,0.695356406723,,
1.8,0.693110760476,,,,1.8,0.65785041319,,
1.81,0.723115555302,0.3359685,-0.0733638888889,3.00844545718,1.81,0.672852810603,,
1.82,0.730616754008,,,,1.82,0.665351611897,,
1.83,0.730616754008,,,,1.83,0.65785041319,,
1.84,0.723115555302,,,,1.84,0.635346817071,,
1.85,0.708113157889,0.335797,0.0695527777778,3.1658357446,1.85,0.635346817071,,
1.86,0.700611959182,,,,1.86,0.650349214484,,
1.87,0.700611959182,,,,1.87,0.650349214484,,
1.88,0.678108363063,,,,1.88,0.590714684768,,
1.89,0.670607164357,0.3417995,0.204251736111,2.55289858218,1.89,0.583213486061,,
1.9,0.640602369531,,,,1.9,0.538206293822,,
1.91,0.618473833347,,,,1.91,0.508201498997,,
1.92,0.588469038521,,,,1.92,0.455693108051,,
